Crop Stage,Region,Crop Disease,Temp (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Soil pH,Cause,Organic Cure,Inorganic Cure
Pre-Sowing,Pune,Loose Smut,33.7,74,54,6,6.9,Seed-borne fungus Ustilago tritici infects embryos in seed.,Hot water seed treatment at 54°C for 10 minutes.,Tebuconazole 2% DS @ 1.25 g/kg seed.
Pre-Sowing,Pune,Common Bunt,26.3,85,52,18,7.2,Fungal spores (Tilletia spp.) on seed coat infect seedlings.,Solarization of seeds before sowing.,Carboxin 37.5% + Thiram 37.5% WS @ 2 g/kg seed.
Pre-Sowing,Pune,Karnal Bunt,30.5,88,68,23,7.3,Soil and seed-borne fungus Tilletia indica infects grains.,Crop rotation and clean seeds.,Propiconazole 25% EC @ 0.1% spray.
Pre-Sowing,Nashik,Loose Smut,29.1,73,41,12,6.7,Seed-borne fungus Ustilago tritici infects embryos in seed.,Hot water seed treatment at 54°C for 10 minutes.,Tebuconazole 2% DS @ 1.25 g/kg seed.
Pre-Sowing,Nashik,Common Bunt,32.6,80,40,10,7.0,Fungal spores (Tilletia spp.) on seed coat infect seedlings.,Solarization of seeds before sowing.,Carboxin 37.5% + Thiram 37.5% WS @ 2 g/kg seed.
Pre-Sowing,Nashik,Karnal Bunt,25.1,87,40,25,7.3,Soil and seed-borne fungus Tilletia indica infects grains.,Crop rotation and clean seeds.,Propiconazole 25% EC @ 0.1% spray.
Pre-Sowing,Aurangabad,Loose Smut,22.0,85,45,5,7.5,Seed-borne fungus Ustilago tritici infects embryos in seed.,Hot water seed treatment at 54°C for 10 minutes.,Tebuconazole 2% DS @ 1.25 g/kg seed.
Pre-Sowing,Aurangabad,Common Bunt,29.8,62,56,1,7.3,Fungal spores (Tilletia spp.) on seed coat infect seedlings.,Solarization of seeds before sowing.,Carboxin 37.5% + Thiram 37.5% WS @ 2 g/kg seed.
Pre-Sowing,Aurangabad,Karnal Bunt,32.1,60,64,15,7.3,Soil and seed-borne fungus Tilletia indica infects grains.,Crop rotation and clean seeds.,Propiconazole 25% EC @ 0.1% spray.
Pre-Sowing,Solapur,Loose Smut,28.5,66,68,23,7.3,Seed-borne fungus Ustilago tritici infects embryos in seed.,Hot water seed treatment at 54°C for 10 minutes.,Tebuconazole 2% DS @ 1.25 g/kg seed.
Pre-Sowing,Solapur,Common Bunt,23.7,81,56,7,6.7,Fungal spores (Tilletia spp.) on seed coat infect seedlings.,Solarization of seeds before sowing.,Carboxin 37.5% + Thiram 37.5% WS @ 2 g/kg seed.
Pre-Sowing,Solapur,Karnal Bunt,30.6,60,44,25,6.5,Soil and seed-borne fungus Tilletia indica infects grains.,Crop rotation and clean seeds.,Propiconazole 25% EC @ 0.1% spray.
